Recall Number||Report Date||Product||Recalling Firm||Product Type||Recall Reason
F-1597-2019||20190731||Flowers Bratwurst Buns 12 CT UPC 7 22500 40792||FLOWERS FOODS||Food||The products have the potential to contain small pieces of hard plastic introduced during production process.
F-2462-2017||20170719||HIPP Bio Combiotik 1, Canister,  900g (4/case), HIPP Bio  Combiotik 2, Canister, 900g (4/case), HIPP Bio Combiotik 3, Canister, 900g (4/case), HIPP Bio Combiotik 1, 600g (4bx/case), HIPP Bio Combiotik 2, 600g (4bx/case), HIPP Bio Combiotik 3, 600g (4/case), HIPP Bio Compiotik, Pre, 600g (4bx/case), HIPP Comfort Spezialnahrung, 500g (4bx/case)||3CS ORGANICS LLC||Food||The product is not FDA approved and not all products are labeled in English.
F-0959-2019||20190227||TRADCHS CHEESE CHEDDAR SMOKEY PRCT¿  1/9 LBS||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2315-2017||20170614||Aunt Jemima(R) Whole Grain Mini Pancakes, 12-40 COUNT, NET WT 12 LBS, UPC 001960043558||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-0988-2019||20190227||Sea Wings CRAB MEAT CLAW PAST ASIA||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1044-2019||20190227||Yoplait YOGURT VANILLA VERY LIGHT||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-0971-2019||20190227||Capra CHEESE GOAT W/ HNY 4 OZ||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-2298-2017||20170614||AUNT JEMIMA(R) 12 BUTTERMILK PANCAKES, NET WT 14.8oz UPC 019600068204||Pinnacle Foods, LLC||Food||Potential for Listeria monocytogenes contamination
F-0947-2019||20190227||Packer Arugula Baby Organic||Sysco Charlotte||Food||The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.
F-1599-2019||20190731||Dinner Rolls sold under the brand names of Laura Lynn UPC 86854 06669 0 & Wonder 12 CT UPC 72250 07421 6 24 CT UPC 72250 01169 3||FLOWERS FOODS||Food||The products have the potential to contain small pieces of hard plastic introduced during production process.
